simID	systemTime	nTrials	defCount
57	60	100	77
58	40	100	22
58	42	100	29
58	45	100	42
58	50	100	53
58	55	100	64
58	60	100	76
59	40	100	22
59	42	100	35
59	45	100	45
59	50	100	52
59	55	100	66
59	60	100	70
60	40	100	30
60	42	100	37
60	45	100	47
60	50	100	63
60	55	100	70
60	60	100	74
61	40	100	29
61	42	100	39
61	45	100	46
61	50	100	57
61	55	100	68
61	60	100	80
62	40	100	24
62	42	100	28
62	45	100	32
62	50	100	49
62	55	100	63
62	60	100	70
63	40	100	22
63	42	100	23
63	45	100	31
63	50	100	50
63	55	100	69
63	60	100	70
64	40	100	38
64	42	100	39
64	45	100	47
64	50	100	64
64	55	100	71
64	60	100	77
65	40	100	29
65	42	100	29
65	45	100	33
65	50	100	49
65	55	100	62
65	60	100	71
66	40	100	27
66	42	100	32
66	45	100	40
66	50	100	60
66	55	100	69
66	60	100	79
67	40	100	28
67	42	100	31
67	45	100	35
67	50	100	57
67	55	100	63
67	60	100	73
68	40	100	31
68	42	100	30
68	45	100	39
68	50	100	56
68	55	100	68
68	60	100	75
69	40	100	21
69	42	100	27
69	45	100	36
69	50	100	53
69	55	100	63
69	60	100	74
70	40	100	25
70	42	100	32
70	45	100	38
70	50	100	54
70	55	100	67
70	60	100	73
71	40	100	22
71	42	100	25
71	45	100	38
71	50	100	50
71	55	100	61
71	60	100	73
72	40	100	24
72	42	100	32
72	45	100	35
72	50	100	53
72	55	100	65
72	60	100	72
73	40	100	27
73	42	100	32
73	45	100	45
73	50	100	55
73	55	100	70
73	60	100	81
74	40	100	24
74	42	100	31
74	45	100	33
74	50	100	55
74	55	100	65
74	60	100	75
75	40	100	27
75	42	100	31
75	45	100	44
75	50	100	58
75	55	100	74
75	60	100	78
76	40	100	22
76	42	100	29
76	45	100	35
76	50	100	53
76	55	100	69
76	60	100	66
77	40	100	28
77	42	100	34
77	45	100	38
77	50	100	56
77	55	100	69
77	60	100	83
78	40	100	19
78	42	100	28
78	45	100	37
78	50	100	48
78	55	100	54
78	60	100	72
79	40	100	27
79	42	100	34
79	45	100	38
79	50	100	58
79	55	100	70
79	60	100	79
80	40	100	27
80	42	100	35
80	45	100	35
80	50	100	46
